GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,869,Ballot a,33
2012,870,Ballot c,39
2012,871,Ballot b,64
2012,872,Ballot b,32
2012,873,Ballot a,31
2012,874,Ballot c,36
2012,875,Ballot a,31
2012,876,Ballot c,53
2012,877,Ballot a,21
2012,878,Ballot b,47
2012,879,Ballot c,0
2012,880,Ballot a,31
2012,881,Ballot b,73
2012,882,Ballot a,28
2012,883,Ballot c,73
2012,884,Ballot c,36
2012,885,Ballot b,38
2012,886,Ballot b,31
2012,887,Ballot c,25
2012,888,Ballot a,39
2012,889,Ballot a,65
2012,890,Ballot c,66
2012,891,Ballot c,74
2012,892,Ballot c,33
2012,893,Ballot b,48
2012,894,Ballot c,36
2012,895,Ballot c,69
2012,896,Ballot a,39
2012,897,Ballot b,25
2012,898,Ballot a,31
2012,899,Ballot a,34
2012,900,Ballot b,35
2012,901,Ballot a,59
2012,902,Ballot a,50
2012,903,Ballot a,32
2012,904,Ballot c,44
2012,905,Ballot b,25
2012,906,Ballot a,59
2012,907,Ballot c,61
2012,908,Ballot a,44
2012,909,Ballot b,38
2012,910,Ballot c,48
2012,911,Ballot a,24
2012,912,Ballot b,38
2012,913,Ballot c,50
2012,914,Ballot b,44
2012,915,Ballot c,74
2012,916,Ballot b,35
2012,917,Ballot a,37
2012,918,Ballot b,0
2012,919,Ballot b,50
2012,920,Ballot a,40
2012,921,Ballot b,31
2012,922,Ballot a,38
2012,923,Ballot b,34
2012,924,Ballot a,61
2012,925,Ballot a,67
2012,926,Ballot c,38
2012,927,Ballot c,34
2012,928,Ballot b,25
2012,929,Ballot c,35
2012,930,Ballot a,24
2012,931,Ballot b,39
2012,932,Ballot a,35
2012,933,Ballot b,44
2012,934,Ballot c,29
2012,935,Ballot a,73
2012,936,Ballot b,48
2012,937,Ballot a,44
2012,938,Ballot a,35
2012,939,Ballot a,37
2012,940,Ballot b,48
2012,941,Ballot c,42
2012,942,Ballot c,47
2012,943,Ballot b,45
2012,944,Ballot a,35
2012,945,Ballot b,47
2012,946,Ballot c,52
2012,947,Ballot a,52
2012,948,Ballot c,65
2012,949,Ballot a,44
2012,950,Ballot a,47
2012,951,Ballot c,43
2012,952,Ballot a,37
2012,953,Ballot c,61
2012,954,Ballot b,64
2012,955,Ballot a,54
2012,956,Ballot c,45
2012,957,Ballot b,31
2012,958,Ballot c,44
2012,959,Ballot b,47
2012,960,Ballot a,64
2012,961,Ballot b,50
2012,962,Ballot c,40
2012,963,Ballot a,48
2012,964,Ballot c,39
2012,965,Ballot a,80
2012,966,Ballot a,28
2012,967,Ballot c,39
2012,968,Ballot a,22
2012,969,Ballot c,64
2012,970,Ballot c,55
2012,971,Ballot b,29
2012,972,Ballot b,63
